net_bin,asset,commissionRateByMaxPercent,commissionRateByMaxPercent
"(-0.01, 0.01]",BNB,,
"(-0.01, 0.01]",BTC,,
"(-0.01, 0.01]",BUSD,,
"(-0.01, 0.01]",DOGE,,
"(-0.01, 0.01]",ETH,,
"(-0.01, 0.01]",USDT,0.01137858514724712,0.01137858514724712
"(-0.01, 0.01]",XRP,,
"(0.01, 0.1]",BNB,,
"(0.01, 0.1]",BTC,,
"(0.01, 0.1]",BUSD,,
"(0.01, 0.1]",DOGE,,
"(0.01, 0.1]",ETH,,
"(0.01, 0.1]",USDT,,
"(0.01, 0.1]",XRP,,
"(0.1, 0.5]",BNB,0.011411866669204058,0.011411866669204058
"(0.1, 0.5]",BTC,0.9257173551305036,0.9257173551305036
"(0.1, 0.5]",BUSD,5.607000000002882e-05,5.607000000002882e-05
"(0.1, 0.5]",DOGE,,
"(0.1, 0.5]",ETH,,
"(0.1, 0.5]",USDT,0.0006073507737236819,0.0006073507737236819
"(0.1, 0.5]",XRP,,
"(0.5, 0.75]",BNB,0.006719975996995947,0.006719975996995947
"(0.5, 0.75]",BTC,9.647842268232294,9.647842268232294
"(0.5, 0.75]",BUSD,0.0008450969937818291,0.0008450969937818291
"(0.5, 0.75]",DOGE,,
"(0.5, 0.75]",ETH,0.0730026085684226,0.0730026085684226
"(0.5, 0.75]",USDT,0.0007140727267192262,0.0007140727267192262
"(0.5, 0.75]",XRP,,
"(0.75, 0.8]",BNB,0.022832016026908607,0.022832016026908607
"(0.75, 0.8]",BTC,3.363047026436208,3.363047026436208
"(0.75, 0.8]",BUSD,0.0023541808888889034,0.0023541808888889034
"(0.75, 0.8]",DOGE,,
"(0.75, 0.8]",ETH,0.08459029407706964,0.08459029407706964
"(0.75, 0.8]",USDT,0.0007883580882154683,0.0007883580882154683
"(0.75, 0.8]",XRP,,
"(0.8, 0.85]",BNB,0.005891625600739455,0.005891625600739455
"(0.8, 0.85]",BTC,0.7211933234245045,0.7211933234245045
"(0.8, 0.85]",BUSD,0.00037676429804916643,0.00037676429804916643
"(0.8, 0.85]",DOGE,,
"(0.8, 0.85]",ETH,0.26265216732592034,0.26265216732592034
"(0.8, 0.85]",USDT,0.0016730684397129993,0.0016730684397129993
"(0.8, 0.85]",XRP,,
"(0.85, 0.9]",BNB,0.12525745541830957,0.12525745541830957
"(0.85, 0.9]",BTC,4.085534003400993,4.085534003400993
"(0.85, 0.9]",BUSD,0.000500993135654389,0.000500993135654389
"(0.85, 0.9]",DOGE,,
"(0.85, 0.9]",ETH,0.38108592627926685,0.38108592627926685
"(0.85, 0.9]",USDT,0.0007581395207235666,0.0007581395207235666
"(0.85, 0.9]",XRP,,
"(0.9, 0.91]",BNB,,
"(0.9, 0.91]",BTC,,
"(0.9, 0.91]",BUSD,,
"(0.9, 0.91]",DOGE,,
"(0.9, 0.91]",ETH,,
"(0.9, 0.91]",USDT,,
"(0.9, 0.91]",XRP,,
"(0.91, 0.92]",BNB,0.16993505722560315,0.16993505722560315
"(0.91, 0.92]",BTC,12.420354668821627,12.420354668821627
"(0.91, 0.92]",BUSD,0.0021995296193985385,0.0021995296193985385
"(0.91, 0.92]",DOGE,6.181048951049565e-06,6.181048951049565e-06
"(0.91, 0.92]",ETH,0.7311778280546222,0.7311778280546222
"(0.91, 0.92]",USDT,0.0021082297971931046,0.0021082297971931046
"(0.91, 0.92]",XRP,8.91800000000354e-06,8.91800000000354e-06
"(0.92, 0.93]",BNB,,
"(0.92, 0.93]",BTC,,
"(0.92, 0.93]",BUSD,,
"(0.92, 0.93]",DOGE,,
"(0.92, 0.93]",ETH,,
"(0.92, 0.93]",USDT,,
"(0.92, 0.93]",XRP,,
"(0.93, 0.94]",BNB,0.030259565291373112,0.030259565291373112
"(0.93, 0.94]",BTC,5.72161403487371,5.72161403487371
"(0.93, 0.94]",BUSD,0.0007290758790873841,0.0007290758790873841
"(0.93, 0.94]",DOGE,4.07269003670408e-09,4.07269003670408e-09
"(0.93, 0.94]",ETH,0.1557544642813397,0.1557544642813397
"(0.93, 0.94]",USDT,0.0012896738763055783,0.0012896738763055783
"(0.93, 0.94]",XRP,1.1573333333335183e-05,1.1573333333335183e-05
"(0.94, 0.95]",BNB,,
"(0.94, 0.95]",BTC,,
"(0.94, 0.95]",BUSD,7.007000000007008e-05,7.007000000007008e-05
"(0.94, 0.95]",DOGE,,
"(0.94, 0.95]",ETH,,
"(0.94, 0.95]",USDT,0.0007999559548978155,0.0007999559548978155
"(0.94, 0.95]",XRP,,
"(0.95, 0.96]",BNB,0.0580200075184764,0.0580200075184764
"(0.95, 0.96]",BTC,5.079596155759031,5.079596155759031
"(0.95, 0.96]",BUSD,0.00037641458928549127,0.00037641458928549127
"(0.95, 0.96]",DOGE,8.853850818678077e-05,8.853850818678077e-05
"(0.95, 0.96]",ETH,0.2145822849663935,0.2145822849663935
"(0.95, 0.96]",USDT,0.0007653552907593871,0.0007653552907593871
"(0.95, 0.96]",XRP,,
"(0.96, 0.97]",BNB,,
"(0.96, 0.97]",BTC,,
"(0.96, 0.97]",BUSD,,
"(0.96, 0.97]",DOGE,,
"(0.96, 0.97]",ETH,,
"(0.96, 0.97]",USDT,,
"(0.96, 0.97]",XRP,,
"(0.97, 0.98]",BNB,0.17937308621853026,0.17937308621853026
"(0.97, 0.98]",BTC,9.964359530905837,9.964359530905837
"(0.97, 0.98]",BUSD,0.0007699074533183008,0.0007699074533183008
"(0.97, 0.98]",DOGE,7.207003508771953e-05,7.207003508771953e-05
"(0.97, 0.98]",ETH,0.6543094118051052,0.6543094118051052
"(0.97, 0.98]",USDT,0.0009991964501909997,0.0009991964501909997
"(0.97, 0.98]",XRP,,
"(0.98, 0.99]",BNB,,
"(0.98, 0.99]",BTC,,
"(0.98, 0.99]",BUSD,,
"(0.98, 0.99]",DOGE,,
"(0.98, 0.99]",ETH,,
"(0.98, 0.99]",USDT,,
"(0.98, 0.99]",XRP,,
"(0.99, 1.0]",BNB,0.163092999034598,0.163092999034598
"(0.99, 1.0]",BTC,16.22423420740664,16.22423420740664
"(0.99, 1.0]",BUSD,0.0006421264028958915,0.0006421264028958915
"(0.99, 1.0]",DOGE,0.00027916583333597407,0.00027916583333597407
"(0.99, 1.0]",ETH,0.6810802777273087,0.6810802777273087
"(0.99, 1.0]",USDT,0.0012319105573101747,0.0012319105573101747
"(0.99, 1.0]",XRP,5.18000000000518e-05,5.18000000000518e-05
