pos_bin,asset,commissionRateByMaxPercent,commissionRateByMaxPercent
"(-0.01, 0.01]",BNB,,
"(-0.01, 0.01]",BTC,,
"(-0.01, 0.01]",BUSD,,
"(-0.01, 0.01]",DOGE,,
"(-0.01, 0.01]",ETH,,
"(-0.01, 0.01]",USDT,0.001814326475840107,0.001814326475840107
"(-0.01, 0.01]",XRP,,
"(0.01, 0.1]",BNB,,
"(0.01, 0.1]",BTC,,
"(0.01, 0.1]",BUSD,,
"(0.01, 0.1]",DOGE,,
"(0.01, 0.1]",ETH,,
"(0.01, 0.1]",USDT,,
"(0.01, 0.1]",XRP,,
"(0.1, 0.5]",BNB,,
"(0.1, 0.5]",BTC,,
"(0.1, 0.5]",BUSD,,
"(0.1, 0.5]",DOGE,,
"(0.1, 0.5]",ETH,,
"(0.1, 0.5]",USDT,0.008169056764831414,0.008169056764831414
"(0.1, 0.5]",XRP,,
"(0.5, 0.75]",BNB,0.011411866669204058,0.011411866669204058
"(0.5, 0.75]",BTC,0.9257173551305036,0.9257173551305036
"(0.5, 0.75]",BUSD,5.607000000002882e-05,5.607000000002882e-05
"(0.5, 0.75]",DOGE,,
"(0.5, 0.75]",ETH,,
"(0.5, 0.75]",USDT,0.0006073507737236819,0.0006073507737236819
"(0.5, 0.75]",XRP,,
"(0.75, 0.8]",BNB,,
"(0.75, 0.8]",BTC,4.15356340614437,4.15356340614437
"(0.75, 0.8]",BUSD,,
"(0.75, 0.8]",DOGE,,
"(0.75, 0.8]",ETH,,
"(0.75, 0.8]",USDT,0.0004361999882935925,0.0004361999882935925
"(0.75, 0.8]",XRP,,
"(0.8, 0.85]",BNB,0.0020110679933891067,0.0020110679933891067
"(0.8, 0.85]",BTC,14.662295589081605,14.662295589081605
"(0.8, 0.85]",BUSD,2.0603268314956715e-05,2.0603268314956715e-05
"(0.8, 0.85]",DOGE,,
"(0.8, 0.85]",ETH,0.011034329473819587,0.011034329473819587
"(0.8, 0.85]",USDT,0.0007087116292987727,0.0007087116292987727
"(0.8, 0.85]",XRP,,
"(0.85, 0.9]",BNB,0.02217024402054456,0.02217024402054456
"(0.85, 0.9]",BTC,2.810761363912149,2.810761363912149
"(0.85, 0.9]",BUSD,0.0024241326668022387,0.0024241326668022387
"(0.85, 0.9]",DOGE,,
"(0.85, 0.9]",ETH,0.12952984314929322,0.12952984314929322
"(0.85, 0.9]",USDT,0.000804743346012242,0.000804743346012242
"(0.85, 0.9]",XRP,,
"(0.9, 0.91]",BNB,0.005891625600739455,0.005891625600739455
"(0.9, 0.91]",BTC,0.24299138447687202,0.24299138447687202
"(0.9, 0.91]",BUSD,0.00014097742524531024,0.00014097742524531024
"(0.9, 0.91]",DOGE,,
"(0.9, 0.91]",ETH,0.03794644236095383,0.03794644236095383
"(0.9, 0.91]",USDT,0.001632220153827972,0.001632220153827972
"(0.9, 0.91]",XRP,,
"(0.91, 0.92]",BNB,,
"(0.91, 0.92]",BTC,3.1122030181626665,3.1122030181626665
"(0.91, 0.92]",BUSD,0.0008146542046848992,0.0008146542046848992
"(0.91, 0.92]",DOGE,,
"(0.91, 0.92]",ETH,1.0491222047033033,1.0491222047033033
"(0.91, 0.92]",USDT,0.0017245728001767289,0.0017245728001767289
"(0.91, 0.92]",XRP,,
"(0.92, 0.93]",BNB,0.025601394032782544,0.025601394032782544
"(0.92, 0.93]",BTC,4.356556384245971,4.356556384245971
"(0.92, 0.93]",BUSD,0.0010338776249106936,0.0010338776249106936
"(0.92, 0.93]",DOGE,,
"(0.92, 0.93]",ETH,0.08828507555931553,0.08828507555931553
"(0.92, 0.93]",USDT,0.0006866976208318045,0.0006866976208318045
"(0.92, 0.93]",XRP,,
"(0.93, 0.94]",BNB,,
"(0.93, 0.94]",BTC,,
"(0.93, 0.94]",BUSD,,
"(0.93, 0.94]",DOGE,,
"(0.93, 0.94]",ETH,,
"(0.93, 0.94]",USDT,,
"(0.93, 0.94]",XRP,,
"(0.94, 0.95]",BNB,0.17851433799397487,0.17851433799397487
"(0.94, 0.95]",BTC,0.5253697701126623,0.5253697701126623
"(0.94, 0.95]",BUSD,0.0001739442222223999,0.0001739442222223999
"(0.94, 0.95]",DOGE,,
"(0.94, 0.95]",ETH,0.3490857638088549,0.3490857638088549
"(0.94, 0.95]",USDT,0.0006618523726493356,0.0006618523726493356
"(0.94, 0.95]",XRP,,
"(0.95, 0.96]",BNB,0.1581792990786558,0.1581792990786558
"(0.95, 0.96]",BTC,9.934190614724809,9.934190614724809
"(0.95, 0.96]",BUSD,0.0016730442266319652,0.0016730442266319652
"(0.95, 0.96]",DOGE,6.181048951049565e-06,6.181048951049565e-06
"(0.95, 0.96]",ETH,0.6693595045373887,0.6693595045373887
"(0.95, 0.96]",USDT,0.001598853416088683,0.001598853416088683
"(0.95, 0.96]",XRP,8.91800000000354e-06,8.91800000000354e-06
"(0.96, 0.97]",BNB,0.030259565291373112,0.030259565291373112
"(0.96, 0.97]",BTC,5.72161403487371,5.72161403487371
"(0.96, 0.97]",BUSD,0.0007290758790873841,0.0007290758790873841
"(0.96, 0.97]",DOGE,4.07269003670408e-09,4.07269003670408e-09
"(0.96, 0.97]",ETH,0.1557544642813397,0.1557544642813397
"(0.96, 0.97]",USDT,0.0012896738763055783,0.0012896738763055783
"(0.96, 0.97]",XRP,1.1573333333335183e-05,1.1573333333335183e-05
"(0.97, 0.98]",BNB,0.0580200075184764,0.0580200075184764
"(0.97, 0.98]",BTC,5.079596155759031,5.079596155759031
"(0.97, 0.98]",BUSD,0.0003729334007708842,0.0003729334007708842
"(0.97, 0.98]",DOGE,8.853850818678077e-05,8.853850818678077e-05
"(0.97, 0.98]",ETH,0.2145822849663935,0.2145822849663935
"(0.97, 0.98]",USDT,0.0007655547182183982,0.0007655547182183982
"(0.97, 0.98]",XRP,,
"(0.98, 0.99]",BNB,0.17937308621853026,0.17937308621853026
"(0.98, 0.99]",BTC,9.964359530905837,9.964359530905837
"(0.98, 0.99]",BUSD,0.0007699074533183008,0.0007699074533183008
"(0.98, 0.99]",DOGE,7.207003508771953e-05,7.207003508771953e-05
"(0.98, 0.99]",ETH,0.6543094118051052,0.6543094118051052
"(0.98, 0.99]",USDT,0.0009991964501909997,0.0009991964501909997
"(0.98, 0.99]",XRP,,
"(0.99, 1.0]",BNB,0.163092999034598,0.163092999034598
"(0.99, 1.0]",BTC,16.22423420740664,16.22423420740664
"(0.99, 1.0]",BUSD,0.0006421264028958915,0.0006421264028958915
"(0.99, 1.0]",DOGE,0.00027916583333597407,0.00027916583333597407
"(0.99, 1.0]",ETH,0.6810802777273087,0.6810802777273087
"(0.99, 1.0]",USDT,0.0012319105573101747,0.0012319105573101747
"(0.99, 1.0]",XRP,5.18000000000518e-05,5.18000000000518e-05
