neg_bin,userStatsRet_finishRateLatest30day,userStatsRet_avgPayTimeOfLatest30day,userStatsRet_avgReleaseTimeOfLatest30day,userStatsRet_completedOrderNum,userStatsRet_completedBuyOrderNum,userStatsRet_completedSellOrderNum,userStatsRet_counterpartyCount
"(-0.01, 0.01]",0.9044189055231941,312.74385444169064,847.8748004698188,2498.258560650029,1301.3122460824145,1196.946604759141,1626.0565873476494
"(0.01, 0.1]",0.8831521436841122,623.790609168123,1689.5818809188258,3487.6674008810573,1428.97577092511,2058.691629955947,2363.1651982378853
"(0.1, 0.5]",0.8307007470710626,940.1549067910394,3073.911679375789,715.1827956989247,312.06451612903226,403.1182795698925,542.9032258064516
"(0.5, 0.75]",,,,,,,
"(0.75, 0.8]",,,,,,,
"(0.8, 0.85]",,,,,,,
"(0.85, 0.9]",0.973684210526315,0.0,779.8175675675676,929.0,0.0,929.0,318.0
"(0.9, 0.91]",,,,,,,
"(0.91, 0.92]",,,,,,,
"(0.92, 0.93]",,,,,,,
"(0.93, 0.94]",,,,,,,
"(0.94, 0.95]",,,,,,,
"(0.95, 0.96]",,,,,,,
"(0.96, 0.97]",,,,,,,
"(0.97, 0.98]",,,,,,,
"(0.98, 0.99]",,,,,,,
"(0.99, 1.0]",0.44,7274.875,6546.825,33.0,3.0,30.0,26.5
