net_bin,userStatsRet_finishRateLatest30day,userStatsRet_avgPayTimeOfLatest30day,userStatsRet_avgReleaseTimeOfLatest30day,userStatsRet_completedOrderNum,userStatsRet_completedBuyOrderNum,userStatsRet_completedSellOrderNum,userStatsRet_counterpartyCount
"(-0.01, 0.01]",0.8949938949938948,2612.809523809524,7244.072549019608,46.0,20.0,26.0,40.333333333333336
"(0.01, 0.1]",,,,,,,
"(0.1, 0.5]",0.7900279677581262,682.3836075036074,1162.1257297938332,148.53333333333333,27.266666666666666,121.26666666666667,111.46666666666667
"(0.5, 0.75]",0.8313268433908424,849.5595291662746,3033.0591233264295,591.2033898305085,195.3728813559322,395.8305084745763,449.8305084745763
"(0.75, 0.8]",0.8380820516140175,907.8753744262988,2371.077939084622,2468.9024390243903,1012.7073170731708,1456.1951219512196,1861.121951219512
"(0.8, 0.85]",0.8623055601434837,1193.6777260155345,2318.0343182912316,1578.75,461.7916666666667,1116.9583333333333,1111.6041666666667
"(0.85, 0.9]",0.8622715962393618,708.8931820477945,1829.7931194372145,2477.422857142857,897.48,1579.942857142857,1803.08
"(0.9, 0.91]",,,,,,,
"(0.91, 0.92]",0.8880717486895042,724.1903090115239,1953.6624439646462,2495.961904761905,997.0095238095238,1498.952380952381,1779.2571428571428
"(0.92, 0.93]",,,,,,,
"(0.93, 0.94]",0.8729987529455767,537.6470836791062,1219.0736880687145,4136.134715025907,1697.6735751295337,2438.461139896373,2815.440414507772
"(0.94, 0.95]",0.9305555555555552,281.6919642857143,211.4036507936508,773.25,236.0,537.25,576.25
"(0.95, 0.96]",0.9032774223760098,520.6760955132904,1766.3326148376464,4240.529411764706,1840.3081232492998,2400.2212885154063,2759.8543417366946
"(0.96, 0.97]",0.9955156950672641,248.35294117647058,1363.7669902912621,8201.0,3519.0,4682.0,4934.0
"(0.97, 0.98]",0.9331003906806301,459.88198450005956,1053.6727585461977,4456.184466019417,2315.3349514563106,2140.849514563107,2911.496359223301
"(0.98, 0.99]",,,,,,,
"(0.99, 1.0]",0.8954053495469444,266.50364880931227,783.1999272985997,1882.9530892448513,982.6414950419527,900.3119755911517,1222.0892448512586
